,Num_of_Shares,Net_Change_Shares,Trade_Rate,Cash_in_hand,Brocker_fee,Share_Worth
0,35,-3,191.1,598.4731799999986,0.8599499999999999,6688.5
0,32,-3,191.0,1170.6136799999986,0.8595,6112.0
0,32,0,0,1170.6136799999986,0.0,6111.68
0,38,6,190.99,22.95476999999851,1.71891,7257.620000000001
0,38,0,0,22.95476999999851,0.0,7258.0
0,38,0,0,22.95476999999851,0.0,7258.0
0,35,-3,191.0,595.0952699999984,0.8595,6685.0
0,38,3,190.99,21.26581499999841,0.859455,7257.620000000001
0,38,0,0,21.26581499999841,0.0,7258.0
0,38,0,0,21.26581499999841,0.0,7258.0
0,38,0,0,21.26581499999841,0.0,7258.0
0,38,0,0,21.26581499999841,0.0,7258.0
0,38,0,0,21.26581499999841,0.0,7258.0
0,38,0,0,21.26581499999841,0.0,7258.0
0,38,0,0,21.26581499999841,0.0,7258.0
0,38,0,0,21.26581499999841,0.0,7258.0
0,35,-3,191.0,593.4063149999984,0.8595,6685.0
0,32,-3,190.71,1164.6781199999984,0.8581949999999999,6102.72
0,32,0,0,1164.6781199999984,0.0,6086.72
0,32,0,0,1164.6781199999984,0.0,6086.72
0,29,-3,190.21,1734.4521749999983,0.855945,5516.09
0,29,0,0,1734.4521749999983,0.0,5510.29
0,27,-2,190.01,2113.902144999998,0.5700299999999999,5130.2699999999995
0,27,0,0,2113.902144999998,0.0,5130.0
0,27,0,0,2113.902144999998,0.0,5130.0
0,25,-2,190.0,2493.332144999998,0.5700000000000001,4750.0
0,38,13,189.98,19.887534999998255,3.7046099999999997,7219.24
0,38,0,190.0,19.887534999998255,0.0,7220.0
0,35,-3,190.02,589.0924449999983,0.85509,6650.700000000001
0,38,3,190.0,18.237444999998292,0.855,7220.0
0,35,-3,190.05,587.5322199999983,0.8552250000000001,6651.75
0,35,0,0,587.5322199999983,0.0,6650.0
0,35,0,0,587.5322199999983,0.0,6650.0
0,35,0,0,587.5322199999983,0.0,6650.0
